uniqueID,name,gender,partyName,year_elected
Broadbent1950,"Broadbent, Russell",male,Liberal Party of Australia,1996
Broadbent1950,"Broadbent, Russell",male,Liberal Party of Australia,2004
Broadbent1950,"Broadbent, Russell",male,Liberal Party of Australia,2019
Brockman1970,"Brockman, Slade",male,Liberal Party of Australia,NA
Brodtmann1963,"Brodtmann, Gai",female,Australian Labor Party,2010
Brough1961,"Brough, Mal",male,Liberal Party of Australia,2013
Brough1961,"Brough, Mal",male,Liberal Party of Australia,1996
Brown1843,"Brown, Joseph",male,Anti-Socialist Party,1906
Brown1861,"Brown, Thomas",male,Australian Labor Party,1906
Brown1861,"Brown, Thomas",male,Australian Labor Party,1901
Brown1885,"Brown, Gordon",male,Australian Labor Party,NA
Brown1885,"Brown, Gordon",male,Federal Labor Party,NA
Brown1894,"Brown, Geoffrey",male,Liberal Party of Australia,1949
Brown1920,"Brown, Bill",male,Australian Labor Party,NA
Brown1931,"Brown, John",male,Australian Labor Party,1977
Brown1933,"Brown, Bob, MP",male,Australian Labor Party,1984
Brown1933,"Brown, Bob, MP",male,Australian Labor Party,1980
Brown1940,"Brown, Neil",male,Liberal Party of Australia,1969
Brown1940,"Brown, Neil",male,Liberal Party of Australia,1975
Brown1940,"Brown, Neil",male,Liberal Party of Australia,1984
Brown1944,"Brown, Bob, Senator",male,Australian Greens,NA
Brown1963,"Brown, Carol",female,Australian Labor Party,NA
Brownbill1914,"Brownbill, Kay",female,Liberal Party of Australia,1966
Browne1924,"Browne, Peter",male,Liberal Party of Australia,1958
Brownhill1935,"Brownhill, David",male,National Party of Australia,NA
Bruce1883,"Bruce, Stanley",male,Nationalist Party,1918
Bruce1883,"Bruce, Stanley",male,Nationalist Party,1931
Bruce1883,"Bruce, Stanley",male,United Australia Party,1918
Bruce1883,"Bruce, Stanley",male,United Australia Party,1931
Bruce1884,"Bruce, Harry",male,Australian Labor Party,1951
Brumby1953,"Brumby, John",male,Australian Labor Party,1983
Bryant1914,"Bryant, Gordon",male,Australian Labor Party,1955
Bryson1898,"Bryson, Bill",male,Australian Labor Party,1943
Bryson1898,"Bryson, Bill",male,Australian Labor Party,1949
Bryson1898,"Bryson, Bill",male,Australian Labor Party (Anti-Communist),1943
Bryson1898,"Bryson, Bill",male,Australian Labor Party (Anti-Communist),1949
Buchanan1905,"Buchanan, Alex",male,Independent,1955
Buchanan1905,"Buchanan, Alex",male,Liberal Party of Australia,1955
Buchholz1968,"Buchholz, Scott",male,Liberal Party of Australia,2010
Buckland1947,"Buckland, Geoff",male,Australian Labor Party,NA
Bull1905,"Bull, Tom",male,Australian Country Party,NA
Bullock1955,"Bullock, Joe",male,Australian Labor Party,NA
Bungey1934,"Bungey, Mel",male,Liberal Party of Australia,1974
Bunton1902,"Bunton, Cleaver",male,Independent,NA
Burchell1883,"Burchell, Reginald",male,Australian Labor Party,1913
Burchell1883,"Burchell, Reginald",male,Nationalist Party,1913
Burke1910,"Burke, Tom",male,Australian Labor Party,1943
Burke1966,"Burke, Anna",female,Australian Labor Party,1998
Burke1969,"Burke, Tony",male,Australian Labor Party,2004
Burney1957,"Burney, Linda",female,Australian Labor Party,2016
Burns1869,"Burns, George",male,Australian Labor Party,1913
Burns1929,"Burns, Bryant",male,Australian Labor Party,NA
Burns1933,"Burns, William",male,Liberal Party of Australia,1977
Burns1987,"Burns, Josh",male,Australian Labor Party,2019
Burr1939,"Burr, Max",male,Liberal Party of Australia,1984
Burr1939,"Burr, Max",male,Liberal Party of Australia,1975
Burston1948,"Burston, Brian",male,Pauline Hansons One Nation,NA
Bury1913,"Bury, Les",male,Liberal Party of Australia,1956
Bushby1965,"Bushby, David",male,Liberal Party of Australia,NA
Butler1970,"Butler, Mark",male,Australian Labor Party,2007
Butler1970,"Butler, Mark",male,Australian Labor Party,2019
Butler1977,"Butler, Terri",female,Australian Labor Party,2014
Buttfield1912,"Buttfield, Nancy",female,Liberal Party of Australia,NA
Button1932,"Button, John",male,Australian Labor Party,NA
Buzacott1867,"Buzacott, Dick",male,Australian Labor Party,NA
Buzacott1867,"Buzacott, Dick",male,Nationalist Party,NA
Byrne1910,"Byrne, Condon",male,Australian Labor Party,NA
Byrne1910,"Byrne, Condon",male,Democratic Labor Party,NA
Byrne1910,"Byrne, Condon",male,Queensland Labor Party,NA
Byrne1962,"Byrne, Anthony",male,Australian Labor Party,1999
Cadman1937,"Cadman, Alan",male,Liberal Party of Australia,1974
Cairns1914,"Cairns, Jim",male,Australian Labor Party,1969
Cairns1914,"Cairns, Jim",male,Australian Labor Party,1955
