uniqueID,year_elected
Quick1941,1993
Raguse1960,2007
Ramsey1956,2007
Randall1953,2001
Randall1953,1996
Rankin1887,1937
Rea1963,2007
Reeves1952,1983
Reid1845,1901
Reid1845,1903
Reid1916,1969
ReidNicholas1935,1990
Reith1950,1982
Reith1950,1984
Reynolds1923,1958
Reynolds1923,1969
Richardson1939,1975
Richardson1958,2004
Riggall1941,1990
Riley1859,1910
Riley1892,1922
Riordan1886,1929
Riordan1908,1936
Riordan1930,1972
Ripoll1966,1998
Rishworth1978,2007
Robb1951,2004
Robert1970,2007
Roberton1900,1949
Roberts1869,1908
Robinson1872,1903
Robinson1927,1963
Robinson1927,1984
Robinson1929,1972
Rocher1936,1981
Rodgers1875,1913
Rodgers1875,1925
Ronald1861,1901
Ronaldson1954,1990
Rosevear1892,1931
Rowe1872,1929
Rowland1971,2010
Roxon1967,1998
Roy1990,2010
Rudd1957,1998
Ruddock1943,1993
Ruddock1943,1977
Ruddock1943,1973
Russell1890,1943
Russell1907,1949
Ryan1876,1919
Ryan1884,1940
Ryan1961,2013
Ryrie1865,1911
Ryrie1865,1922
Saffin1954,2007
Sainsbury1940,1975
Salmon1861,1915
Salmon1861,1901
Sampson1863,1906
Saunderson1948,1984
Saunderson1948,1983
Sawers1844,1901
Sawford1944,1988
Scholes1931,1967
Scholfield1894,1931
Schultz1939,1998
Sciacca1947,1987
Sciacca1947,1998
Scott1934,1980
Scott1943,1990
Scott1947,1988
Scott1977,2013
Scullin1876,1910
Scullin1876,1922
Scully1890,1937
Seabrook1867,1922
Secker1956,1998
Sercombe1949,1996
Sexton1905,1958
Shack1953,1977
Shack1953,1984
Sharkie1972,2016
Sharkie1972,2018
Sharma1975,2019
Sharp1954,1984
Sharp1954,1993
Sharpe1868,1913
Shaw1913,1963
Sheehan1891,1937
Sheehy1899,1943
Sherry1924,1969
Shipton1936,1975
Short1936,1975
Short1956,2001
Shorten1967,2007
Sidebottom1951,1998
Sidebottom1951,2007
Simmonds1985,2019
Simmons1947,1983
Simon1936,1975
Simpkins1964,2007
Sinclair1864,1906
Sinclair1929,1963
Skene1845,1901
Slipper1950,1984
Slipper1950,1993
Smith1851,1901
Smith1856,1901
Smith1881,1943
Smith1939,1993
Smith1950,1996
Smith1954,1984
Smith1954,1996
Smith1955,1993
Smith1967,2001
Smith1970,2019
SmithWilliam1869,1910
Smyth1959,1995
Smyth1976,2010
Snedden1926,1955
Snow1934,1983
Snowdon1950,2001
Snowdon1950,1987
Snowdon1950,1998
Solomon1839,1901
Solomon1853,1901
Solomon1931,1969
Somlyay1946,1990
Southcott1967,1996
Spence1846,1901
Spence1846,1917
Spender1897,1937
Spender1935,1980
Spooner1891,1940
Spurr1897,1939
Stacey1879,1931
Staley1939,1970
Stanley1961,2016
Staples1947,1983
Staples1947,1984
StClair1949,1998
Steedman1943,1983
Steggall1974,2019
Stevens1983,2019
Stewart1884,1931
Stewart1885,1919
Stewart1923,1977
Stewart1923,1953
StJohn1916,1966
Stokes1906,1955
Stone1951,1996
Storrer1854,1903
Story1857,1917
Street1894,1934
Street1926,1966
Stumm1853,1913
Sudmalis1955,2013
Sukkar1981,2013
Sullivan1929,1974
Sullivan1942,1984
Sullivan1950,2007
Swan1954,1993
Swan1954,1998
Swanson1970,2016
Swartz1911,1949
Symon1965,2007
Tambling1943,1980
Tanner1956,1993
Taylor1938,1988
Taylor1966,2013
Tehan1968,2010
Templeman1963,2016
Theodore1884,1927
Theophanous1946,1980
Theophanous1946,1984
Thistlethwaite1972,2013
Thomas1863,1901
Thompson1885,1922
Thompson1886,1946
Thompson1886,1949
Thompson1960,1998
Thompson1988,2019
Thomson1848,1901
Thomson1856,1903
Thomson1862,1906
Thomson1924,1975
Thomson1955,1996
Thomson1961,1995
Thomson1964,2007
Thorburn1930,1972
Thorby1888,1931
Thwaites1980,2019
Ticehurst1945,2001
Tickner1951,1984
Timson1909,1949
Tollner1966,2001
Townley1907,1949
Treloar1892,1949
Trevor1961,2007
Truss1948,1990
Tuckey1935,1980
Tudge1971,2010
Tudor1866,1901
Tully1877,1928
Turnbull1899,1949
Turnbull1899,1946
Turnbull1954,2004
Turner1851,1901
Turner1905,1952
Turnour1966,2007
Uren1921,1958
Vaile1956,1993
Vale1944,1996
Vamvakinou1959,2001
vanManen1965,2010
Varvaris1974,2013
Vasta1966,2004
Vasta1966,2010
Viner1933,1972
Wakelin1946,1993
Walker1942,1990
Wallace1881,1917
Wallace1968,2016
Wallis1922,1969
Ward1899,1931
Ward1899,1932
Washer1945,1998
Watkins1865,1901
Watkins1896,1935
Watson1864,1922
Watson1864,1931
Watson1867,1901
Watson1867,1906
Watson1945,1984
Watt1871,1914
Watts1982,2013
Webb1908,1955
Webb1908,1961
Webb1908,1954
Webster1860,1903
Webster1934,1984
Webster1959,2019
Wells1949,1983
Wells1985,2019
Wentworth1907,1949
West1852,1910
West1934,1977
West1952,1996
Whan1933,1972
Wheeler1909,1949
White1888,1929
White1936,1981
Whiteley1960,2013
Whitlam1916,1952
Whitlam1944,1975
Whitsitt1869,1922
Whittorn1911,1960
Wicks1973,2013
Wienholt1877,1919
Wight1914,1949
Wilkie1959,1998
Wilkie1961,2010
Wilkie1961,2019
Wilkinson1854,1901
Wilks1863,1901
Williams1897,1943
Williams1942,1993
Williams1973,2013
Willis1860,1901
Willis1938,1972
Wilson1863,1903
Wilson1880,1937
Wilson1900,1949
Wilson1900,1955
Wilson1932,1966
Wilson1932,1972
Wilson1966,2013
Wilson1972,2016
