uniqueID,partyAbbrev,partyName,partySimplifiedName
KentHughes1895,LIB,Liberal Party of Australia,Liberals
Keogh1931,ALP,Australian Labor Party,Labor
Keogh1981,ALP,Australian Labor Party,Labor
Keon1915,ALP,Australian Labor Party,Labor
Keon1915,ALP (A-C),Australian Labor Party (Anti-Communist),Australian Labor Party (Anti-Communist)
Kerby1885,NAT,Nationalist Party,Nationalist Party
Kerin1937,ALP,Australian Labor Party,Labor
Kernot1948,AD,Australian Democrats,Australian Democrats
Kernot1948,ALP,Australian Labor Party,Labor
Kerr1952,ALP,Australian Labor Party,Labor
Ketter1961,ALP,Australian Labor Party,Labor
Khalil1973,ALP,Australian Labor Party,Labor
Kilgariff1923,CLP,Country Liberal Party (Northern Territory),Country Liberal Party (Northern Territory)
Killen1860,CP,Australian Country Party,Nationals
Killen1925,LIB,Liberal Party of Australia,Liberals
King1920,CP,Australian Country Party,Nationals
King1920,NCP,National Country Party,Nationals
King1952,IND,Independent,Independent
King1952,LIB,Liberal Party of Australia,Liberals
King1966,ALP,Australian Labor Party,Labor
King1973,ALP,Australian Labor Party,Labor
Kingsmill1864,NAT,Nationalist Party,Nationalist Party
Kingston1850,PROT,Protectionist Party,Protectionist Party
Kirk1967,ALP,Australian Labor Party,Labor
Kirwan1869,FT,Free Trade,Free Trade
Kirwan1937,ALP,Australian Labor Party,Labor
Kitching1970,ALP,Australian Labor Party,Labor
Klugman1924,ALP,Australian Labor Party,Labor
Kneebone1876,ALP,Australian Labor Party,Labor
Knight1943,LIB,Liberal Party of Australia,Liberals
Knott1956,ALP,Australian Labor Party,Labor
Knowles1951,LIB,Liberal Party of Australia,Liberals
Knox1850,ANTI-SOC,Anti-Socialist Party,Anti-Socialist Party
Knox1850,FT,Free Trade,Free Trade
Knox1850,LIB,Liberal Party of Australia,Liberal Party of Australia
Kroger1959,LIB,Liberal Party of Australia,Liberals
Lacey1887,ALP,Australian Labor Party,Labor
Lacey1900,ALP,Australian Labor Party,Labor
Lajovic1921,LIB,Liberal Party of Australia,Liberals
Lamb1939,ALP,Australian Labor Party,Labor
Lamb1972,ALP,Australian Labor Party,Labor
Lambert1881,ALP,Australian Labor Party,Labor
Lambie1971,JLN,Jacqui Lambie Network,NA
Lambie1971,IND,Independent,Independent
Lambie1971,JLN,Jacqui Lambie Network,Jacqui Lambie Network
Lambie1971,PUP,Palmer United Party,Palmer United Party
Laming1966,LIB,Liberal Party of Australia,Liberals
Lamond1865,NAT,Nationalist Party,Nationalist Party
Lamp1895,ALP,Australian Labor Party,Labor
Landry1962,NP,The Nationals,The Nationals
Lane1873,UAP,United Australia Party,United Australia Party
Lang1876,ALP (N-C),Australian Labor Party (Non-Communist),Australian Labor Party (Non-Communist)
Lang1876,LANG LAB,Lang Labor Party,Lang Labor Party
Langmore1939,ALP,Australian Labor Party,Labor
Langtry1880,ALP,Australian Labor Party,Labor
